trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-177.95610486855193,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,6,-85.56061300088716,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-234.83017657896406,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-72.46725689627307,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-98.11404347631772,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-68.80222945009605,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,7,-72.83733635471599,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-145.1945631840349,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-100.89570632810774,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,-7.845948304763251,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': -0.10000000000000032}",20,0,-35.19503582391721,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': -0.20000000000000034}",20,0,-105.63449556763973,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': -0.3000000000000003}",30,0,-88.97904665563654,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-34.187770074822616,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': -0.5000000000000003}",30,8,-31.967030988473443,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': -0.6000000000000004}",20,12,-24.848118492412468,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': -0.7000000000000005}",25,0,-27.723953280820922,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': -0.8000000000000006}",20,0,17.223392413405378,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': -0.9000000000000007}",25,7,7.297032806973843,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -1.0000000000000007}",20,0,-17.91727585493639,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-27.916213262273452,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-53.507894028893375,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-8.950044364272935,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-13.318117299118036,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,16.993063371428253,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-30.040745574570483,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-51.08921125556228,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,15.61959615842626,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-16.638388195629943,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,46.31175217174302,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
