trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.08014186381182,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999995950000273}",25,0,-102.58528954287483,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999983800004374}",20,0,-92.21660414492594,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999963550022143}",25,0,-39.44800652622791,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9999935200069984}",20,0,-102.87909587920996,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9999898750170859}",20,0,-82.54674030394591,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999854200354293}",20,0,-124.00422181152643,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9999801550656372}",20,0,-93.59072461162732,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999740801119742}",30,15,-24.402281679505553,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.999967195179361}",30,0,-246.6074667899015,"{0: 13, 1: 2, 2: 11, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,0,-189.59833132417043,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.999950995400247}",25,0,-89.67808397520648,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999416805668682}",20,0,-135.32106992540704,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9999315557807827}",25,0,-99.63568228781449,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9999206210501919}",30,3,-101.76472029532876,"{0: 19, 1: 2, 2: 3, 3: 2, 4: 1}",1
