trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.0861490567702,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.73345253451359,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.27700877405223,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.89599465487923,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.94948648294076,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.2338632991707,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.55610207354925,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-285.3781964641012,"{0: 16, 1: 6, 2: 7, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,12,-50.37742002819377,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.77303849608393,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.26535155971438,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.47305777271282,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.31880940831931,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,16,-14.591321563280133,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,4,-112.82641214042633,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-239.2848309797444,"{0: 11, 1: 6, 2: 2, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.16961850478006,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.50463349660046,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-98.6351639712155,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.01573102205982,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.93784618893406,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.15797153342677,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.91895798913635,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-250.70432442590808,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-190.2717851338796,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.1971796831539,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.56959173334614,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-278.6861695612103,"{0: 18, 1: 2, 2: 9, 3: 2, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-163.97420186093763,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.89640342276272,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
